DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
10/20/17,21:07,,,40.729996,-73.91187,"(40.729996, -73.91187)",,,,0,0,0,0,0,0,0,0,Oversized Vehicle,Alcohol Involvement,,,,3773819,DS,PASSENGER VEHICLE,,,
10/20/17,21:08,QUEENS,11372,40.748863,-73.892715,"(40.748863, -73.892715)",37 AVENUE                       ,73 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3775221,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/20/17,23:15,,,40.749725,-73.98363,"(40.749725, -73.98363)",EAST 36 STREET                  ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,3774339,TAXI,,,,
10/20/17,21:10,QUEENS,11354,40.76229,-73.82432,"(40.76229, -73.82432)",,,143-18    38 AVENUE                     ,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,3779218,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/20/17,21:10,,,40.732758,-73.990036,"(40.732758, -73.990036)",EAST 12 STREET                  ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3775650,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/20/17,21:13,BROOKLYN,11221,40.689533,-73.93934,"(40.689533, -73.93934)",,,241       MARCUS GARVEY BOULEVARD       ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,3774416,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,GG,,
10/20/17,21:15,QUEENS,11413,40.680878,-73.74396,"(40.680878, -73.74396)",,,131-59    224 STREET                    ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3774543,ST150,SPORT UTILITY / STATION WAGON,,,
10/20/17,21:20,,,40.664955,-73.87583,"(40.664955, -73.87583)",LINDEN BOULEVARD                ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3775225,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/20/17,21:20,,,40.771626,-73.87611,"(40.771626, -73.87611)",,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3775232,PASSENGER VEHICLE,,,,
10/20/17,21:21,,,40.77221,-73.98219,"(40.77221, -73.98219)",BROADWAY                        ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3773656,TAXI,TAXI,,,
10/20/17,21:23,BROOKLYN,11234,40.612885,-73.92218,"(40.612885, -73.92218)",,,5401      AVENUE T                      ,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3773787,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/20/17,21:25,BRONX,10465,40.8262,-73.821686,"(40.8262, -73.821686)",RANDALL AVENUE                  ,EAST TREMONT AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3774031,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/20/17,21:26,,,40.844105,-73.898,"(40.844105, -73.898)",,,,0,0,0,0,0,0,0,0,Following Too Closely,Driver Inattention/Distraction,,,,3778728,TR,DS,,,
10/20/17,21:30,BRONX,10465,40.83236,-73.82768,"(40.83236, -73.82768)",EAST TREMONT AVENUE             ,OTIS AVENUE,,0,0,0,0,0,0,0,0,Accelerator Defective,Unspecified,Unspecified,,,3774026,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
10/20/17,21:30,MANHATTAN,10024,40.785786,-73.978546,"(40.785786, -73.978546)",BROADWAY                        ,WEST 82 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3773657,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/20/17,21:30,MANHATTAN,10040,40.863914,-73.926254,"(40.863914, -73.926254)",,,168       DYCKMAN STREET                ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3774261,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
10/20/17,21:30,QUEENS,11413,40.681313,-73.74373,"(40.681313, -73.74373)",131 AVENUE                      ,224 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3773609,PASSENGER VEHICLE,,,,
10/20/17,21:30,BROOKLYN,11220,40.635506,-74.021614,"(40.635506, -74.021614)",,,452       SENATOR STREET                ,1,0,0,0,0,0,1,0,Failure to Keep Right,,,,,3773802,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/20/17,21:35,BROOKLYN,11233,40.681236,-73.928734,"(40.681236, -73.928734)",REID AVENUE                     ,BAINBRIDGE STREET,,0,0,0,0,0,0,0,0,Aggressive Driving/Road Rage,Unspecified,,,,3774428,MOTORCYCLE,SPORT UTILITY / STATION WAGON,,,
10/20/17,21:45,MANHATTAN,10003,40.729706,-73.98981,"(40.729706, -73.98981)",,,12        3 AVENUE                      ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Failure to Yield Right-of-Way,,,,3775655,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/20/17,21:45,QUEENS,11354,40.76221,-73.83315,"(40.76221, -73.83315)",,,36-06     PRINCE STREET                 ,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3774220,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
10/20/17,21:45,,,40.76241,-73.95443,"(40.76241, -73.95443)",,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3774440,TAXI,SPORT UTILITY / STATION WAGON,,,
10/20/17,21:47,MANHATTAN,10002,40.723423,-73.99028,"(40.723423, -73.99028)",EAST HOUSTON STREET             ,FORSYTH STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3774890,TAXI,TAXI,,,
10/20/17,21:50,,,40.759914,-73.75207,"(40.759914, -73.75207)",,,,2,0,0,0,0,0,2,0,Reaction to Other Uninvolved Vehicle,,,,,3773526,PASSENGER VEHICLE,,,,
10/20/17,21:53,BRONX,10472,40.830055,-73.86499,"(40.830055, -73.86499)",TAYLOR AVENUE                   ,GLEASON AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3774602,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
10/20/17,22:00,BROOKLYN,11223,40.58769,-73.971596,"(40.58769, -73.971596)",,,2514      WEST 2 STREET                 ,0,0,0,0,0,0,0,0,Unspecified,,,,,3774770,SPORT UTILITY / STATION WAGON,,,,
10/20/17,22:00,QUEENS,11434,40.686195,-73.76847,"(40.686195, -73.76847)",BAISLEY BOULEVARD               ,177 STREET,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,3773504,MOTORCYCLE,PASSENGER VEHICLE,,,
10/20/17,23:15,,,40.85261,-73.94137,"(40.85261, -73.94137)",,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3774295,PASSENGER VEHICLE,,,,
10/20/17,22:05,BROOKLYN,11218,40.645767,-73.98529,"(40.645767, -73.98529)",FORT HAMILTON PARKWAY           ,CHESTER AVENUE,,1,0,0,0,0,0,1,0,Driver Inexperience,Unspecified,,,,3775168,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
10/20/17,22:10,MANHATTAN,10033,40.84619,-73.93846,"(40.84619, -73.93846)",BROADWAY                        ,WEST 175 STREET,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3774370,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/20/17,22:10,,,40.625004,-74.14762,"(40.625004, -74.14762)",,,1761      FOREST AVENUE                 ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3773690,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
10/20/17,22:15,BROOKLYN,11216,40.6745,-73.9537,"(40.6745, -73.9537)",BEDFORD AVENUE                  ,PROSPECT PLACE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3777219,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/20/17,22:15,BROOKLYN,11233,40.683437,-73.92917,"(40.683437, -73.92917)",REID AVENUE                     ,MACON STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3774423,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/20/17,22:15,MANHATTAN,10165,40.75258,-73.97879,"(40.75258, -73.97879)",,,60        EAST 42 STREET                ,0,0,0,0,0,0,0,0,Unspecified,,,,,3774335,SPORT UTILITY / STATION WAGON,,,,
10/20/17,22:20,,,,,,FOCH BOULEVARD                  ,VANWYCK EXPRESSWAY,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3773503,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/20/17,22:25,QUEENS,11369,40.759895,-73.8603,"(40.759895, -73.8603)",,,32-15     110 STREET                    ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3775239,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
10/20/17,22:26,MANHATTAN,10036,40.760822,-73.99832,"(40.760822, -73.99832)",WEST 42 STREET                  ,11 AVENUE,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3774707,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/20/17,22:30,MANHATTAN,10032,40.837997,-73.94202,"(40.837997, -73.94202)",,,3905      BROADWAY                      ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3774939,GE/SC,SPORT UTILITY / STATION WAGON,,,
10/20/17,22:30,QUEENS,11418,40.69614,-73.81789,"(40.69614, -73.81789)",ATLANTIC AVENUE                 ,131 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3774748,PASSENGER VEHICLE,PICK-UP TRUCK,,,
10/20/17,22:30,,,40.64091,-74.168755,"(40.64091, -74.168755)",,,3303      RICHMOND TERRACE              ,0,0,0,0,0,0,0,0,Alcohol Involvement,,,,,3773918,SPORT UTILITY / STATION WAGON,,,,
10/20/17,22:30,,,40.722343,-73.77717,"(40.722343, -73.77717)",,,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,,,3773496,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,,
10/20/17,22:35,STATEN ISLAND,10309,40.522884,-74.23924,"(40.522884, -74.23924)",,,4906      ARTHUR KILL ROAD              ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3774153,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/20/17,22:40,,,40.727234,-74.00888,"(40.727234, -74.00888)",GREENWICH STREET                ,,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,3774485,TAXI,PICK-UP TRUCK,,,
10/20/17,22:45,BRONX,10466,40.89466,-73.86137,"(40.89466, -73.86137)",EAST 233 STREET                 ,BRONX BOULEVARD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3773601,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/20/17,22:47,,,40.831448,-73.83118,"(40.831448, -73.83118)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,3774032,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
10/20/17,23:00,BRONX,10455,40.82073,-73.91567,"(40.82073, -73.91567)",,,737       MELROSE AVENUE                ,0,0,0,0,0,0,0,0,Unspecified,,,,,3779670,SPORT UTILITY / STATION WAGON,,,,
10/20/17,23:00,STATEN ISLAND,10301,40.641758,-74.08014,"(40.641758, -74.08014)",,,50        FORT PLACE                    ,0,0,0,0,0,0,0,0,Unspecified,,,,,3782193,PASSENGER VEHICLE,,,,
10/20/17,23:00,,,40.719166,-74.005196,"(40.719166, -74.005196)",AVENUE OF THE AMERICAS          ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3774484,TAXI,TAXI,,,
10/20/17,23:00,,,40.62041,-73.94085,"(40.62041, -73.94085)",EAST 35 STREET                  ,KINGS HIGHWAY,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3773786,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/20/17,23:05,,,40.734234,-74.01005,"(40.734234, -74.01005)",WEST STREET                     ,,,0,0,0,0,0,0,0,0,Reaction to Other Uninvolved Vehicle,Unspecified,Unspecified,,,3774600,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,
10/20/17,23:05,BROOKLYN,11233,40.676342,-73.910934,"(40.676342, -73.910934)",ATLANTIC AVENUE                 ,ROCKAWAY AVENUE,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3775275,PASSENGER VEHICLE,,,,
10/20/17,23:10,,,40.848534,-73.934326,"(40.848534, -73.934326)",SAINT NICHOLAS AVENUE           ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3775938,SPORT UTILITY / STATION WAGON,MB,,,
10/20/17,23:26,QUEENS,11370,40.758816,-73.88598,"(40.758816, -73.88598)",,,31-08     82 STREET                     ,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,3775000,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
10/20/17,23:26,,,40.70695,-73.92349,"(40.70695, -73.92349)",WYCKOFF AVENUE                  ,,,5,0,0,0,0,0,5,0,Traffic Control Disregarded,Unspecified,,,,3774217,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/20/17,23:30,MANHATTAN,10018,40.758976,-73.99394,"(40.758976, -73.99394)",WEST 42 STREET                  ,DYER AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Turning Improperly,,,,3775060,TAXI,PASSENGER VEHICLE,,,
10/20/17,23:30,QUEENS,11369,40.763546,-73.88209,"(40.763546, -73.88209)",25 AVENUE                       ,87 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3775238,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
10/20/17,23:30,,,40.76548,-73.913704,"(40.76548, -73.913704)",STEINWAY STREET                 ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3773843,PASSENGER VEHICLE,,,,
10/20/17,23:33,BRONX,10466,40.90152,-73.84695,"(40.90152, -73.84695)",BAYCHESTER AVENUE               ,EAST 241 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3774107,CONV,,,,
10/20/17,23:35,BROOKLYN,11220,40.638824,-74.02272,"(40.638824, -74.02272)",,,333       65 STREET                     ,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3775474,PASSENGER VEHICLE,,,,
10/20/17,23:35,,,40.704422,-73.99491,"(40.704422, -73.99491)",,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Driver Inattention/Distraction,,,,3773506,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
10/20/17,23:40,,,40.69231,-73.88147,"(40.69231, -73.88147)",,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3774631,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/20/17,23:43,,,,,,CENTRAL ROAD S                  ,SUNKEN MEADOW LOOP,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3774679,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/20/17,23:45,QUEENS,11354,40.765354,-73.81733,"(40.765354, -73.81733)",NORTHERN BOULEVARD              ,149 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3774224,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/20/17,23:54,,,40.606182,-74.07613,"(40.606182, -74.07613)",,,,1,0,0,0,0,0,1,0,Alcohol Involvement,Unsafe Speed,,,,3773713,SPORT UTILITY / STATION WAGON,TAXI,,,
10/20/17,2:00,BROOKLYN,11237,40.69663,-73.9102,"(40.69663, -73.9102)",,,422       IRVING AVENUE                 ,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,3773978,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/20/17,2:00,,,40.740158,-73.87437,"(40.740158, -73.87437)",50 AVENUE                       ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3774475,SPORT UTILITY / STATION WAGON,,,,
10/20/17,2:00,,,40.757465,-73.95563,"(40.757465, -73.95563)",,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3773246,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/20/17,2:17,,,40.86294,-73.902145,"(40.86294, -73.902145)",DAVIDSON AVENUE                 ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3773410,PASSENGER VEHICLE,PK,,,
10/20/17,2:26,MANHATTAN,10028,40.77749,-73.95081,"(40.77749, -73.95081)",,,335       EAST 86 STREET                ,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,,,3775088,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
10/20/17,2:40,BROOKLYN,11217,40.68358,-73.97617,"(40.68358, -73.97617)",,,620       ATLANTIC AVENUE               ,1,0,0,0,0,0,1,0,Driver Inexperience,,,,,3772926,PASSENGER VEHICLE,,,,
10/20/17,3:26,,,40.6941,-73.983536,"(40.6941, -73.983536)",FLATBUSH AVENUE EXTENSION       ,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3772893,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/20/17,3:30,MANHATTAN,10034,40.86402,-73.91682,"(40.86402, -73.91682)",,,3875      9 AVENUE                      ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3779863,SPORT UTILITY / STATION WAGON,TAXI,,,
10/20/17,3:30,MANHATTAN,10038,40.713696,-73.99812,"(40.713696, -73.99812)",,,7         CHATHAM SQUARE                ,0,0,0,0,0,0,0,0,Unspecified,,,,,3773487,SPORT UTILITY / STATION WAGON,,,,
10/20/17,3:45,MANHATTAN,10034,40.863636,-73.92257,"(40.863636, -73.92257)",,,66        POST AVENUE                   ,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,,3774258,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,
10/20/17,3:59,,,40.857372,-73.886024,"(40.857372, -73.886024)",ARTHUR AVENUE                   ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3775733,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/20/17,4:00,MANHATTAN,10033,40.847355,-73.93518,"(40.847355, -73.93518)",WEST 178 STREET                 ,SAINT NICHOLAS AVENUE,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3773272,LL,TAXI,,,
10/20/17,4:05,MANHATTAN,10002,40.72042,-73.988174,"(40.72042, -73.988174)",,,138       LUDLOW STREET                 ,1,0,1,0,0,0,0,0,Unspecified,,,,,3773095,SPORT UTILITY / STATION WAGON,,,,
10/20/17,4:30,,,40.535587,-74.21828,"(40.535587, -74.21828)",BLOOMINGDALE ROAD               ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3774029,SPORT UTILITY / STATION WAGON,,,,
10/20/17,4:35,QUEENS,11373,40.741734,-73.881874,"(40.741734, -73.881874)",83 STREET                       ,45 AVENUE,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3774470,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/20/17,4:42,,,40.763206,-73.97802,"(40.763206, -73.97802)",AVENUE OF THE AMERICAS          ,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3772939,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/20/17,4:50,,,40.827656,-73.8861,"(40.827656, -73.8861)",WHITLOCK AVENUE                 ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3773592,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/20/17,5:10,,,40.721252,-73.98314,"(40.721252, -73.98314)",EAST HOUSTON STREET             ,,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3773096,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/20/17,5:30,QUEENS,11101,40.74184,-73.9313,"(40.74184, -73.9313)",,,47-25     34 STREET                     ,0,0,0,0,0,0,0,0,Unspecified,,,,,3773746,PASSENGER VEHICLE,,,,
10/20/17,5:30,,,40.743393,-73.837555,"(40.743393, -73.837555)",,,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,3772910,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/20/17,5:55,,,40.651386,-73.889465,"(40.651386, -73.889465)",FLATLANDS AVENUE                ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3773155,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/20/17,5:59,,,40.59018,-74.10089,"(40.59018, -74.10089)",RICHMOND ROAD                   ,,,1,0,0,0,0,0,1,0,Unsafe Speed,,,,,3773626,PASSENGER VEHICLE,,,,
10/20/17,6:00,MANHATTAN,10033,40.851818,-73.94186,"(40.851818, -73.94186)",WEST 181 STREET                 ,RIVERSIDE DRIVE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,,3773133,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,
10/20/17,6:00,,,40.776356,-73.90445,"(40.776356, -73.90445)",37 STREET                       ,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3773840,SPORT UTILITY / STATION WAGON,PICK-UP TRUCK,,,
10/20/17,6:00,,,40.628334,-73.954895,"(40.628334, -73.954895)",AVENUE I                        ,,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Driver Inattention/Distraction,Unspecified,,,3774286,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
10/20/17,6:02,MANHATTAN,10065,40.760536,-73.95836,"(40.760536, -73.95836)",YORK AVENUE                     ,EAST 62 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3772944,TAXI,SPORT UTILITY / STATION WAGON,,,
10/20/17,6:05,,,40.798256,-73.82744,"(40.798256, -73.82744)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3774227,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/20/17,6:10,QUEENS,11101,40.740913,-73.95226,"(40.740913, -73.95226)",BORDEN AVENUE                   ,11 STREET,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3773240,TAXI,TK,,,
10/20/17,6:15,,,40.860104,-73.82763,"(40.860104, -73.82763)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3774081,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/20/17,6:25,MANHATTAN,10004,,,,,,20        west street                   ,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,,,,,3773474,MOTORCYCLE,,,,
10/20/17,6:25,STATEN ISLAND,10312,40.530064,-74.15974,"(40.530064, -74.15974)",,,4595      HYLAN BOULEVARD               ,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,3773171,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/20/17,6:30,,,40.799126,-73.94283,"(40.799126, -73.94283)",EAST 116 STREET                 ,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3773134,TAXI,SPORT UTILITY / STATION WAGON,,,
10/20/17,6:30,,,40.678596,-73.882416,"(40.678596, -73.882416)",ESSEX STREET                    ,ATLANTIC AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3775208,SPORT UTILITY / STATION WAGON,,,,
10/20/17,6:30,,,,,,,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3773125,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/20/17,6:31,,,40.696297,-73.97716,"(40.696297, -73.97716)",,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3773160,TK,,,,
10/20/17,6:35,BRONX,10474,40.816864,-73.882744,"(40.816864, -73.882744)",,,772       EDGEWATER ROAD                ,0,0,0,0,0,0,0,0,Backing Unsafely,,,,,3774017,SPORT UTILITY / STATION WAGON,,,,
10/20/17,6:40,QUEENS,11417,40.680687,-73.84459,"(40.680687, -73.84459)",CROSS BAY BOULEVARD             ,ROCKAWAY BOULEVARD,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3772945,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/20/17,6:47,MANHATTAN,10040,40.85795,-73.92727,"(40.85795, -73.92727)",,,17        FORT GEORGE HILL              ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,3774252,SPORT UTILITY / STATION WAGON,PICK-UP TRUCK,VAN,,
10/20/17,6:50,QUEENS,11358,40.752537,-73.78606,"(40.752537, -73.78606)",47 AVENUE                       ,195 STREET,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3773124,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
10/20/17,7:00,QUEENS,11373,40.733418,-73.88584,"(40.733418, -73.88584)",,,79-48     ELKS ROAD                     ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3774476,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/20/17,7:00,QUEENS,11378,40.718834,-73.9065,"(40.718834, -73.9065)",,,60-15     59 AVENUE                     ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3773379,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,
10/20/17,7:00,QUEENS,11414,40.659733,-73.83109,"(40.659733, -73.83109)",,,102-18    159 ROAD                      ,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,3773198,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
10/20/17,7:00,QUEENS,11421,40.697556,-73.852776,"(40.697556, -73.852776)",WOODHAVEN BOULEVARD             ,PARK LANE SOUTH,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3773190,PASSENGER VEHICLE,PICK-UP TRUCK,,,
10/20/17,7:00,,,40.752327,-73.97411,"(40.752327, -73.97411)",EAST 44 STREET                  ,,,0,0,0,0,0,0,0,0,Following Too Closely,Following Too Closely,Reaction to Other Uninvolved Vehicle,,,3773348,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,,
